snap,gas,star,total,halo,BH,r[kpc]
139,109389021.967,2327507.64985,1071592827.55,5,2201854.36405,47.6952521133
225,332031868.791,18085533.3891,4120536252.88,4,2208140.12673,53.7492465807
275,337949637.014,22566182.8324,4977178771.96,5,2208243.36046,52.9678641172
640,13933566099.7,1357321315.31,1.322042613e+11,1,2224483.55179,49.5068936894
974,43086720655.6,9691792359.08,3.78679594393e+11,1,2229703.15539,68.48905634
1024,46777952133.6,11815627211.2,4.16273275613e+11,1,2229770.13574,78.2573991178
1269,77298297580.9,30957800426.4,7.50267412326e+11,1,2230263.97761,106.384852014
1280,79458807309.4,31916860795.9,7.69146424501e+11,1,2230275.03048,107.142957707
1408,98304235092.7,44899799612.5,9.70993987662e+11,1,2230330.07373,128.870335691
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1,2230385.5591,167.779753664
2048,1.21245962552e+11,88041756951.3,1.16016249104e+12,1,4282743.1105,197.514172035
2088,1.22561198991e+11,90107844668.5,1.17626591656e+12,1,4282748.85799,202.326615256
2432,1.39066807607e+11,1.08361401203e+11,1.39360273401e+12,1,4282942.50413,258.761750241
2688,1.49229197715e+11,1.22421952104e+11,1.60214133621e+12,1,4283071.60156,306.875919513
2816,1.5384707238e+11,1.28443365863e+11,1.68362036006e+12,1,4283110.06552,323.458967241
2944,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,1,4283148.08737,340.612973367
3072,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,1,4283190.08824,357.180917086
3195,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,1,4283217.49934,369.335744969
3200,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,1,4283218.82569,370.069777467
3328,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,1,4283248.88947,386.987888172
3456,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,1,4283277.62691,404.287664817
3584,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,1,4283280.72171,419.747775114
3606,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,1,4283281.16383,423.097689235
3712,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,1,4283286.4692,436.620914274
3840,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,1,4283289.12189,452.716723342
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1,4283290.00612,472.271631065
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1,4283290.89035,493.433551785
