snap,gas,star,total,halo,BH,r[kpc]
139,104796585.792,5495388.66085,1234788731.66,3,5344674.24764,183.663809839
225,270049814.87,8675703.12364,2874210344.1,8,5352449.71507,243.092452134
275,349348971.948,13411749.3032,3683397822.77,10,5364994.27144,270.999142023
640,2136576452.46,46893957.802,13961971026.0,13,5476807.67711,425.530833121
974,4759457618.76,275080764.592,39187222733.8,6,5595350.06522,523.695497633
1024,4726606257.3,349572785.346,43383114087.1,4,5661675.63798,537.281057949
1269,5071926726.98,621401086.93,57096362912.1,4,5716437.2643,550.807907027
1280,5058919640.61,629855003.171,57273129599.0,4,5718308.2928,550.363267152
1408,4670204111.77,713895717.804,56000567862.1,3,5758537.61603,550.122891934
1740,4702994828.57,818999824.635,58933577368.4,3,5899379.8166,520.694716208
2048,4848548491.87,899600203.984,63724049804.2,4,6011179.07461,460.568615326
2088,4891646703.37,911286470.166,64376240402.7,4,6023671.46146,450.231236598
2432,4925332093.25,981372489.279,69153766359.8,4,6148403.89447,330.745555975
2688,4856397509.67,1056038393.78,70036427985.1,4,6241697.56652,227.772316632
2816,4409772404.47,1093660243.81,59533105002.4,4,7883935.79604,200.22935318
2944,4239593070.39,1143908370.71,56886436236.1,4,7924530.74795,230.877178154
3072,4207885811.47,1191398993.13,61661929423.6,3,7970820.13442,312.124919182
3195,4002911227.18,1242832903.58,58628505550.4,3,8009785.45234,402.950857334
3200,3997690737.57,1244976641.23,58529597990.4,3,8010533.51005,406.667878128
3328,3898138182.0,1287999879.46,56380854530.1,3,8049590.78779,491.942363906
3456,3772747585.49,1323911973.91,54405403686.0,3,8087398.64999,566.117814618
3584,3362697075.03,1362166277.41,41124549157.2,3,8148003.70345,625.183520654
3606,3321326246.33,1368717356.5,38903210289.9,3,8152918.24805,634.155049848
3712,3262752204.38,1402101942.14,44107517776.6,3,8178006.47655,669.345455455
3840,3198022278.9,1441901581.62,49915466734.9,3,8213469.36354,694.952261691
3968,3093419589.36,1473913771.44,49154386343.2,3,8266039.42836,702.868928666
4096,2983605593.03,1502495240.77,48580055355.0,3,8302106.24373,695.580082552
