snap,gas,star,total,halo,BH,r[kpc]
139,91057508.5579,1991655.14728,778317852.054,9,707557.588423,246.078770643
225,281849438.07,3174212.95434,2570721933.14,9,728645.786134,320.486477794
275,404892362.448,5155637.24433,3520035337.41,12,729526.975564,354.336627901
640,662044048.646,84048437.9228,10723389276.9,16,732505.777164,496.208141857
974,443970901.727,95031169.1067,11703778626.2,15,734401.287749,519.161323148
1024,417116562.856,96322082.0322,12115196903.4,15,734821.185981,517.242073319
1269,321243201.481,99245038.4818,13227358115.0,12,736145.760974,487.727506051
1280,321582053.808,99250982.5388,13255252679.3,12,736202.904271,485.602649063
1408,247583622.091,100017778.278,13647400199.6,12,736794.398187,458.693536366
1740,303049551.529,99947549.6063,15124787766.6,11,739774.691923,367.18635815
2048,304808542.68,101175469.437,16288509975.7,11,742905.028262,278.752452852
2088,296724800.881,101182058.529,16340152242.9,11,743315.034181,270.704465635
2432,125388475.128,102957595.61,16437569897.4,11,749453.462204,313.901546468
2688,47799680.2747,104239250.58,5324529046.44,19,756533.8704,428.243134112
2816,43592049.3125,104293734.102,9418213145.14,15,758480.003094,478.328344754
2944,39897326.0109,104345228.714,10508677160.5,14,761432.719939,513.97582874
3072,34782118.8067,104388702.068,10107482148.4,12,764646.063272,536.461956358
3195,29298131.7318,104404100.386,9746875859.31,13,767321.905922,549.282068185
3200,29127108.9167,104399071.34,9735849437.32,13,767964.46406,549.618308986
3328,25483949.5958,104412212.347,9540388265.9,13,772183.783637,554.314312337
3456,20369165.4564,104418977.699,9454877309.1,13,776744.194539,551.835418854
3584,18301286.2136,104396530.553,9411843789.18,12,778185.432492,543.169673635
3606,18124313.4243,104406176.278,9406887040.93,12,778374.989077,540.93753502
3712,15652048.0871,104429215.214,9386551657.52,12,780694.045338,528.830638403
3840,12269978.0352,104403649.454,9364918790.63,12,785614.447958,510.30610848
3968,9882573.74956,104386453.11,9343441273.76,12,789189.661996,490.139344174
4096,7503452.80862,104376733.617,9287775420.64,12,791952.877521,470.773753959
