snap,gas,star,total,halo
139,136381213.65,2119379.02791,1276094085.71,2.0
225,244667663.091,5281045.2356,2450242709.95,10.0
275,337098474.769,9389354.89409,3330466767.43,15.0
640,13933566099.7,1357321315.31,1.322042613e+11,1.0
974,43086720655.6,9691792359.08,3.78679594393e+11,1.0
1024,46777952133.6,11815627211.2,4.16273275613e+11,1.0
1269,77298297580.9,30957800426.4,7.50267412326e+11,1.0
1280,79458807309.4,31916860795.9,7.69146424501e+11,1.0
1408,98304235092.7,44899799612.5,9.70993987662e+11,1.0
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1.0
2048,0.0,0.0,0.0,0.0
2088,0.0,0.0,0.0,0.0
2432,0.0,0.0,0.0,0.0
2688,0.0,0.0,0.0,0.0
2816,0.0,0.0,0.0,0.0
2944,0.0,0.0,0.0,0.0
3072,0.0,0.0,0.0,0.0
3195,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0
3328,0.0,0.0,0.0,0.0
3456,0.0,0.0,0.0,0.0
3584,0.0,0.0,0.0,0.0
3606,0.0,0.0,0.0,0.0
3712,0.0,0.0,0.0,0.0
3840,0.0,0.0,0.0,0.0
3968,0.0,0.0,0.0,0.0
4096,0.0,0.0,0.0,0.0
