snap,gas,star,total,halo,BH,r[kpc]
139,136381213.65,2119379.02791,1276094085.71,2.0,1337887.3925,80.5962883022
225,244667663.091,5281045.2356,2450242709.95,10.0,1340324.76965,89.951242947
275,337098474.769,9389354.89409,3330466767.43,15.0,1341365.39661,90.216419655
640,13933566099.7,1357321315.31,1.322042613e+11,1.0,1349986.73958,33.0137787031
974,43086720655.6,9691792359.08,3.78679594393e+11,1.0,1351161.65882,69.4256762393
1024,46777952133.6,11815627211.2,4.16273275613e+11,1.0,1351264.33991,75.9992286365
1269,77298297580.9,30957800426.4,7.50267412326e+11,1.0,1351473.239,103.72614367
1280,79458807309.4,31916860795.9,7.69146424501e+11,1.0,1351475.22852,108.154634113
1408,98304235092.7,44899799612.5,9.70993987662e+11,1.0,1351539.11406,127.357774149
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1.0,2052275.53917,168.12116411
2048,0.0,0.0,0.0,0.0,,
2088,0.0,0.0,0.0,0.0,,
2432,0.0,0.0,0.0,0.0,,
2688,0.0,0.0,0.0,0.0,,
2816,0.0,0.0,0.0,0.0,,
2944,0.0,0.0,0.0,0.0,,
3072,0.0,0.0,0.0,0.0,,
3195,0.0,0.0,0.0,0.0,,
3200,0.0,0.0,0.0,0.0,,
3328,0.0,0.0,0.0,0.0,,
3456,0.0,0.0,0.0,0.0,,
3584,0.0,0.0,0.0,0.0,,
3606,0.0,0.0,0.0,0.0,,
3712,0.0,0.0,0.0,0.0,,
3840,0.0,0.0,0.0,0.0,,
3968,0.0,0.0,0.0,0.0,,
4096,0.0,0.0,0.0,0.0,,
