snap,gas,star,total,halo,BH,r[kpc]
139,10020326.6363,104650.149363,98877613.6859,183,104650.149363,132.769038263
225,8851083.021,114809.222631,158709476.851,302,108758.325504,172.899130838
275,2780673.45969,115108.888174,175272560.893,337,109334.994768,191.880404546
640,10098440.6996,116389.090244,742106202.279,141,111161.093379,277.493125552
974,3841428.14055,117273.323097,981551619.374,95,112207.751064,307.130663627
1024,3894415.92585,117332.181315,1008137211.72,97,112283.774031,307.978444785
1269,5908981.93701,117772.703496,1109246614.18,90,112793.704732,291.345451295
1280,5909056.90478,117779.476396,1114968570.79,93,112803.141113,289.710140887
1408,6200365.90163,118250.767845,967508826.614,109,113303.234766,262.842427767
1740,0.0,119725.166112,154907036.513,516,114812.095512,158.970145452
2048,0.0,119724.885473,232682150.23,312,114812.095512,390.362602079
2088,0.0,119724.855682,224586756.863,325,114812.095512,409.75168618
2432,0.0,119724.642828,214499303.173,324,114812.095512,503.115646251
2688,0.0,119724.528845,212168168.852,312,114812.10242,486.751923831
2816,0.0,119724.477035,207463516.127,310,114812.10242,449.624296954
2944,0.0,119724.429974,197503215.378,319,114812.10242,389.277294189
3072,0.0,119724.386799,126891040.991,488,114812.10242,321.192934772
3195,0.0,119724.348805,130493702.909,469,114812.10242,337.264598515
3200,0.0,119724.347509,130324165.874,469,114812.10242,338.792111316
3328,0.0,119724.311242,124644675.225,484,114812.10242,382.984586725
3456,0.0,119724.277565,119812869.744,499,114812.10242,424.305704407
3584,0.0,119724.246479,115786365.173,503,114812.10242,458.481394652
3606,0.0,119724.241298,114938680.002,503,114812.10242,463.527048629
3712,0.0,119724.217552,112607545.771,504,114812.10242,485.516389011
3840,0.0,119724.190783,105444606.09,523,114812.10242,504.363514472
3968,0.0,119724.165742,83447176.0023,631,114812.10242,466.367721695
4096,0.0,119724.141995,80225972.3471,649,114812.10242,407.508965452
