snap,gas,star,total,halo,BH,r[kpc]
139,49935360.6569,1253388.28421,491391655.744,19,213418.60896,240.269376805
225,108249342.575,2213203.99722,1417593072.84,26,214996.225416,306.064203963
275,112813921.887,2861867.44789,1606669228.15,41,215157.362329,335.377981734
640,161382284.969,5095765.8151,2947394006.99,44,215401.340444,430.692014242
974,564830176.148,29123095.6342,11218160996.7,16,215991.56328,420.395383193
1024,392189293.567,29689366.5588,10918255462.0,17,216075.647928,418.824654856
1269,301149118.816,31128664.325,10967717336.5,14,216501.597601,396.877408565
1280,307827791.58,31386375.3183,11143554989.6,14,216504.623322,396.054572033
1408,477944820.772,31966426.9799,13360648830.2,11,216668.868853,380.065947885
1740,742882251.417,35412557.6667,14131836847.8,10,217361.496456,322.84409355
2048,1029842915.75,37690051.2123,16225669571.8,10,218190.170976,289.247376679
2088,1058968623.66,37927823.7796,16611230359.1,10,218210.770748,291.059936626
2432,1256466876.24,41891783.9606,19138316825.3,10,218520.209438,380.677609049
2688,1571066554.53,47662415.6659,16595969560.5,10,218627.712338,445.710655358
2816,1795140246.36,68524675.9965,16814584888.3,10,218709.227196,449.90947648
2944,1731483140.85,77226802.4282,16119500456.0,10,218744.78978,437.819342351
3072,1660624291.91,85103921.0162,15427960174.9,8,218892.124432,416.21764572
3195,1578235648.45,90426666.7136,14452051311.1,10,219094.308912,391.862359381
3200,1571989159.6,90961243.7725,14351441045.0,10,219096.367507,390.816292413
3328,1472997512.12,96972737.0592,13507835676.1,11,219341.879207,363.383562901
3456,1472311038.88,102333016.036,13642247696.6,11,219508.680712,338.439008508
3584,1439406652.08,107726773.179,13289268347.3,10,219814.098924,321.618376683
3606,1435101875.7,109361892.796,13229125636.3,10,219843.955467,320.125597494
3712,1367263990.62,114190728.235,12878878468.1,10,219966.752765,326.32455428
3840,1269441928.67,121524941.151,12280160977.7,10,220226.398312,368.0664859
3968,1193792825.96,128271939.268,11288723106.7,11,220422.434637,452.405173932
4096,1139588130.39,135332344.929,10574577743.8,11,220575.502961,550.120403965
