snap,gas,star,total,halo,BH,r[kpc]
139,6946358.17906,765471.229372,273249207.718,53.0,695913.729789,49.5902181931
225,492743928.906,2028366.65018,4181185546.29,2.0,696355.623215,59.6625998699
275,1099272843.68,38230318.314,8680121002.25,1.0,696987.073227,65.8623135091
640,10102112366.6,541129801.784,80311180005.4,2.0,699974.882909,61.6264090062
974,43086720655.6,9691792359.08,3.78679594393e+11,1.0,700567.703168,68.9140190929
1024,46777952133.6,11815627211.2,4.16273275613e+11,1.0,700579.253409,77.4231623694
1269,77298297580.9,30957800426.4,7.50267412326e+11,1.0,700600.917018,106.062322738
1280,79458807309.4,31916860795.9,7.69146424501e+11,1.0,700601.082811,107.199123697
1408,98304235092.7,44899799612.5,9.70993987662e+11,1.0,700602.796005,127.933047898
1740,0.0,0.0,0.0,0.0,,
2048,0.0,0.0,0.0,0.0,,
2088,0.0,0.0,0.0,0.0,,
2432,0.0,0.0,0.0,0.0,,
2688,0.0,0.0,0.0,0.0,,
2816,0.0,0.0,0.0,0.0,,
2944,0.0,0.0,0.0,0.0,,
3072,0.0,0.0,0.0,0.0,,
3195,0.0,0.0,0.0,0.0,,
3200,0.0,0.0,0.0,0.0,,
3328,0.0,0.0,0.0,0.0,,
3456,0.0,0.0,0.0,0.0,,
3584,0.0,0.0,0.0,0.0,,
3606,0.0,0.0,0.0,0.0,,
3712,0.0,0.0,0.0,0.0,,
3840,0.0,0.0,0.0,0.0,,
3968,0.0,0.0,0.0,0.0,,
4096,0.0,0.0,0.0,0.0,,
