snap,gas,star,total,halo,BH,r[kpc]
139,104796585.792,5495388.66085,1234788731.66,3.0,50141.91336,183.736736209
225,270049814.87,8675703.12364,2874210344.1,8.0,50149.9957654,243.966332257
275,349348971.948,13411749.3032,3683397822.77,10.0,50154.2407553,271.286013241
640,2136576452.46,46893957.802,13961971026.0,13.0,50185.8139467,426.060413501
974,4759457618.76,275080764.592,39187222733.8,6.0,50202.2585331,522.850547096
1024,0.0,0.0,0.0,0.0,,
1269,0.0,0.0,0.0,0.0,,
1280,0.0,0.0,0.0,0.0,,
1408,0.0,0.0,0.0,0.0,,
1740,0.0,0.0,0.0,0.0,,
2048,0.0,0.0,0.0,0.0,,
2088,0.0,0.0,0.0,0.0,,
2432,0.0,0.0,0.0,0.0,,
2688,0.0,0.0,0.0,0.0,,
2816,0.0,0.0,0.0,0.0,,
2944,0.0,0.0,0.0,0.0,,
3072,0.0,0.0,0.0,0.0,,
3195,0.0,0.0,0.0,0.0,,
3200,0.0,0.0,0.0,0.0,,
3328,0.0,0.0,0.0,0.0,,
3456,0.0,0.0,0.0,0.0,,
3584,0.0,0.0,0.0,0.0,,
3606,0.0,0.0,0.0,0.0,,
3712,0.0,0.0,0.0,0.0,,
3840,0.0,0.0,0.0,0.0,,
3968,0.0,0.0,0.0,0.0,,
4096,0.0,0.0,0.0,0.0,,
