snap,gas,star,total,halo,BH,r[kpc]
139,0.0,0.0,0.0,0.0,,
225,466953646.743,10486295.4275,3984822085.8,3.0,50114.8925662,313.717822553
275,783221875.193,18809552.6699,7069222167.06,3.0,50115.9564042,348.91527209
640,1765868562.57,116311876.852,17324757801.7,9.0,50149.4638465,515.950098695
974,3363041789.07,168686514.542,31492030130.8,7.0,50171.811352,581.825399893
1024,3270139759.62,189825662.965,31715643145.9,7.0,50173.586718,588.494200797
1269,3024801230.93,225787276.888,33288820982.9,6.0,50182.7985877,607.916024405
1280,3004767777.58,227828413.902,33417478200.3,6.0,50183.0852714,609.967334443
1408,2700079927.98,248960386.816,34792375967.0,5.0,50186.5116586,609.985377929
1740,2135760637.23,283332826.336,37185035647.5,5.0,50196.9289811,593.534706536
2048,1895926804.86,305115318.414,38269918791.9,5.0,50203.4674399,547.300537853
2088,1827009858.37,306867432.969,38453075389.6,5.0,50204.8214155,542.419755307
2432,1604778550.67,326364233.521,39753583371.9,6.0,50214.6550087,460.279305183
2688,1528341975.76,340270837.672,40740657173.9,6.0,50219.5804404,381.379317232
2816,1503817602.45,346360709.058,41084565696.3,6.0,50222.5578051,335.286696202
2944,1489376892.78,353371147.344,41333814493.2,6.0,50225.4211872,288.945582839
3072,1437593953.26,362246379.374,41404157523.9,4.0,50229.4520279,242.899952467
3195,1383237678.6,370582691.212,41166094486.7,4.0,50232.4639328,201.371985766
3200,1381414528.73,370712776.696,41155966954.9,4.0,50232.508835,200.887151304
3328,1302004047.19,376926862.568,40653969017.9,4.0,50237.6380538,175.976778158
3456,1241253653.18,384935858.797,40113639112.6,4.0,50239.6413851,191.389491413
3584,1176715107.78,393300133.063,39182187523.1,4.0,50241.8795897,254.372267909
3606,1166049771.59,395176944.536,38962537313.3,4.0,50242.1939054,268.857000687
3712,1132068181.95,403154187.403,37734388248.1,4.0,50243.3440939,348.383517606
3840,1067238239.47,412086242.029,35964216648.6,4.0,50244.3388515,458.567605212
3968,1017201692.15,422809591.294,34529910356.8,5.0,50246.1245795,564.547869125
4096,984413313.128,431322510.739,33280094068.2,5.0,50249.0225018,659.878036784
