snap,gas,star,total,halo,BH,r[kpc]
139,38767399.5606,785184.02533,331580123.339,33,272335.006143,116.950644889
225,165940875.614,1297249.37544,1528366196.34,23,273458.253254,149.215028001
275,263019057.057,2653895.38801,2423201237.43,21,273561.100136,162.384207703
640,1673550146.83,66550678.7139,17558923248.9,8,274298.878681,178.174486266
974,1878828032.16,167653274.409,21042470117.0,11,274962.050407,105.036464525
1024,1902317692.6,172375287.165,21526227798.5,11,275100.625665,89.2418213542
1269,77298297580.9,30957800426.4,7.50267412326e+11,1,275542.463828,134.650479971
1280,79458807309.4,31916860795.9,7.69146424501e+11,1,275542.463828,138.351854067
1408,291764337.256,197643602.224,3092310010.79,24,275565.232724,159.329035049
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1,276020.914596,138.091461249
2048,1.21245962552e+11,88041756951.3,1.16016249104e+12,1,276020.942228,255.973756359
2088,1.22561198991e+11,90107844668.5,1.17626591656e+12,1,276020.942228,249.449362769
2432,1.39066807607e+11,1.08361401203e+11,1.39360273401e+12,1,276020.997492,300.87449786
2688,1.49229197715e+11,1.22421952104e+11,1.60214133621e+12,1,276021.080389,297.320963679
2816,1.5384707238e+11,1.28443365863e+11,1.68362036006e+12,1,276021.108021,300.923580975
2944,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,1,276021.135653,298.213468449
3072,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,1,276021.163285,404.215194981
3195,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,1,276021.163285,382.011772891
3200,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,1,276021.163285,379.920097778
3328,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,1,276021.190917,414.723081766
3456,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,1,276021.190917,451.952753579
3584,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,1,276021.190917,386.023753018
3606,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,1,276021.190917,387.725057632
3712,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,1,276021.218549,426.267496446
3840,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,1,276021.246182,448.739728961
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1,276021.246182,415.203763823
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1,276021.273814,513.838042495
