snap,gas,star,total,halo,BH,r[kpc]
139,95380113.2223,748037.955832,704342257.92,10,528525.925585,130.437353802
225,307896046.283,4379771.53688,2155694364.48,11,531879.750796,155.869083303
275,261143562.034,8290001.32834,2271793078.68,27,533393.384996,164.798363185
640,442887374.62,16681433.5542,4710794685.14,35,534128.179268,146.948022713
974,43086720655.6,9691792359.08,3.78679594393e+11,1,534459.157224,93.0620511258
1024,189432905.062,25029448.9681,2537882626.04,42,534733.378732,90.88776884
1269,31881408.4212,25176875.4272,1507023760.62,67,545044.42799,77.1982618651
1280,32352689.7502,25136874.7243,1486983444.48,67,545045.035898,78.0801288015
1408,98304235092.7,44899799612.5,9.70993987662e+11,1,545248.740146,155.580236977
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1,545248.961203,185.340911159
2048,1.21245962552e+11,88041756951.3,1.16016249104e+12,1,545249.126996,185.919325412
2088,1.22561198991e+11,90107844668.5,1.17626591656e+12,1,545249.126996,174.075611748
2432,1.39066807607e+11,1.08361401203e+11,1.39360273401e+12,1,545249.182261,288.9219976
2688,1.49229197715e+11,1.22421952104e+11,1.60214133621e+12,1,545249.237525,308.383809454
2816,1.5384707238e+11,1.28443365863e+11,1.68362036006e+12,1,545249.292789,349.815725067
2944,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,1,545249.292789,320.315932594
3072,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,1,545249.348054,366.914433601
3195,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,1,545249.348054,387.126887119
3200,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,1,545249.348054,389.38509998
3328,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,1,545249.458582,377.533313142
3456,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,1,545249.458582,395.2265067
3584,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,1,545249.513847,437.660417298
3606,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,1,545249.513847,433.126703642
3712,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,1,545249.513847,436.852003054
3840,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,1,545249.569111,444.52626175
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1,545249.624375,482.581146544
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1,545249.624375,499.544278626
