snap,gas,star,total,halo
139,92950872.5981,2519616.90628,859446745.534,8.0
225,393511545.855,4957805.41949,3794168974.26,5.0
275,503087851.445,9394824.3321,4430441129.65,7.0
640,694376689.066,47118848.8587,7159235162.64,22.0
974,704532567.274,66073802.4619,7346481662.21,22.0
1024,705523343.263,67541095.466,6759968077.73,23.0
1269,5071926726.98,621401086.93,57096362912.1,4.0
1280,5058919640.61,629855003.171,57273129599.0,4.0
1408,4670204111.77,713895717.804,56000567862.1,3.0
1740,4702994828.57,818999824.635,58933577368.4,3.0
2048,4848548491.87,899600203.984,63724049804.2,4.0
2088,4891646703.37,911286470.166,64376240402.7,4.0
2432,4925332093.25,981372489.279,69153766359.8,4.0
2688,4856397509.67,1056038393.78,70036427985.1,4.0
2816,0.0,0.0,0.0,0.0
2944,0.0,0.0,0.0,0.0
3072,0.0,0.0,0.0,0.0
3195,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0
3328,0.0,0.0,0.0,0.0
3456,0.0,0.0,0.0,0.0
3584,0.0,0.0,0.0,0.0
3606,0.0,0.0,0.0,0.0
3712,0.0,0.0,0.0,0.0
3840,0.0,0.0,0.0,0.0
3968,0.0,0.0,0.0,0.0
4096,0.0,0.0,0.0,0.0
