snap,gas,star,total,halo
139,91057508.5579,1991655.14728,778317852.054,9
225,281849438.07,3174212.95434,2570721933.14,9
275,404892362.448,5155637.24433,3520035337.41,12
640,662044048.646,84048437.9228,10723389276.9,16
974,443970901.727,95031169.1067,11703778626.2,15
1024,417116562.856,96322082.0322,12115196903.4,15
1269,321243201.481,99245038.4818,13227358115.0,12
1280,321582053.808,99250982.5388,13255252679.3,12
1408,247583622.091,100017778.278,13647400199.6,12
1740,303049551.529,99947549.6063,15124787766.6,11
2048,304808542.68,101175469.437,16288509975.7,11
2088,296724800.881,101182058.529,16340152242.9,11
2432,125388475.128,102957595.61,16437569897.4,11
2688,47799680.2747,104239250.58,5324529046.44,19
2816,43592049.3125,104293734.102,9418213145.14,15
2944,39897326.0109,104345228.714,10508677160.5,14
3072,34782118.8067,104388702.068,10107482148.4,12
3195,29298131.7318,104404100.386,9746875859.31,13
3200,29127108.9167,104399071.34,9735849437.32,13
3328,25483949.5958,104412212.347,9540388265.9,13
3456,20369165.4564,104418977.699,9454877309.1,13
3584,18301286.2136,104396530.553,9411843789.18,12
3606,18124313.4243,104406176.278,9406887040.93,12
3712,15652048.0871,104429215.214,9386551657.52,12
3840,12269978.0352,104403649.454,9364918790.63,12
3968,9882573.74956,104386453.11,9343441273.76,12
4096,7503452.80862,104376733.617,9287775420.64,12
