snap,gas,star,total,halo
139,312153984.209,2443686.54402,1975340064.1,1
225,265320151.135,18583827.4287,3379819742.53,6
275,366483241.535,20527869.3226,4365367132.83,8
640,1529607108.81,88888746.5403,17227770505.6,10
974,12812221286.3,1175763323.11,1.24514050767e+11,2
1024,11565821796.0,1433405612.36,1.14873013459e+11,2
1269,11481253086.5,2051217593.83,1.11494232073e+11,2
1280,11536681400.0,2109061595.71,1.12433658352e+11,2
1408,11977632925.2,2667469940.28,1.24688666627e+11,2
1740,10244515218.7,4598977352.28,1.3034712364e+11,2
2048,10141298815.4,6557167765.84,1.45708307788e+11,2
2088,10339909412.7,6782311579.98,1.49141386923e+11,2
2432,6676915586.28,9430375294.95,1.19902736819e+11,2
2688,4477165003.83,11543612728.2,81013435187.8,2
2816,3771206903.46,12574440895.3,77491509970.3,2
2944,3151192831.22,13352873329.2,67969702808.2,2
3072,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,1
3195,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,1
3200,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,1
3328,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,1
3456,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,1
3584,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,1
3606,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,1
3712,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,1
3840,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,1
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1
