snap,gas,star,total,halo
139,109389021.967,2327507.64985,1071592827.55,5
225,332031868.791,18085533.3891,4120536252.88,4
275,337949637.014,22566182.8324,4977178771.96,5
640,13933566099.7,1357321315.31,1.322042613e+11,1
974,43086720655.6,9691792359.08,3.78679594393e+11,1
1024,46777952133.6,11815627211.2,4.16273275613e+11,1
1269,77298297580.9,30957800426.4,7.50267412326e+11,1
1280,79458807309.4,31916860795.9,7.69146424501e+11,1
1408,98304235092.7,44899799612.5,9.70993987662e+11,1
1740,1.0915948858e+11,69665135042.6,1.05617474413e+12,1
2048,1.21245962552e+11,88041756951.3,1.16016249104e+12,1
2088,1.22561198991e+11,90107844668.5,1.17626591656e+12,1
2432,1.39066807607e+11,1.08361401203e+11,1.39360273401e+12,1
2688,1.49229197715e+11,1.22421952104e+11,1.60214133621e+12,1
2816,1.5384707238e+11,1.28443365863e+11,1.68362036006e+12,1
2944,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,1
3072,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,1
3195,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,1
3200,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,1
3328,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,1
3456,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,1
3584,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,1
3606,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,1
3712,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,1
3840,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,1
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1
