snap,H[109] Gas,H[109] Star,H[109] Total,H[10] Gas,H[10] Star,H[10] Total,H[115] Gas,H[115] Star,H[115] Total,H[11] Gas,H[11] Star,H[11] Total,H[12] Gas,H[12] Star,H[12] Total,H[130] Gas,H[130] Star,H[130] Total,H[131] Gas,H[131] Star,H[131] Total,H[13] Gas,H[13] Star,H[13] Total,H[141] Gas,H[141] Star,H[141] Total,H[145] Gas,H[145] Star,H[145] Total,H[149] Gas,H[149] Star,H[149] Total,H[14] Gas,H[14] Star,H[14] Total,H[157] Gas,H[157] Star,H[157] Total,H[158] Gas,H[158] Star,H[158] Total,H[15] Gas,H[15] Star,H[15] Total,H[160] Gas,H[160] Star,H[160] Total,H[16] Gas,H[16] Star,H[16] Total,H[170] Gas,H[170] Star,H[170] Total,H[17] Gas,H[17] Star,H[17] Total,H[183] Gas,H[183] Star,H[183] Total,H[19] Gas,H[19] Star,H[19] Total,H[1] Gas,H[1] Star,H[1] Total,H[20] Gas,H[20] Star,H[20] Total,H[21] Gas,H[21] Star,H[21] Total,H[22] Gas,H[22] Star,H[22] Total,H[23] Gas,H[23] Star,H[23] Total,H[24] Gas,H[24] Star,H[24] Total,H[25] Gas,H[25] Star,H[25] Total,H[26] Gas,H[26] Star,H[26] Total,H[27] Gas,H[27] Star,H[27] Total,H[2] Gas,H[2] Star,H[2] Total,H[302] Gas,H[302] Star,H[302] Total,H[310] Gas,H[310] Star,H[310] Total,H[312] Gas,H[312] Star,H[312] Total,H[319] Gas,H[319] Star,H[319] Total,H[31] Gas,H[31] Star,H[31] Total,H[324] Gas,H[324] Star,H[324] Total,H[325] Gas,H[325] Star,H[325] Total,H[32] Gas,H[32] Star,H[32] Total,H[337] Gas,H[337] Star,H[337] Total,H[33] Gas,H[33] Star,H[33] Total,H[35] Gas,H[35] Star,H[35] Total,H[36] Gas,H[36] Star,H[36] Total,H[3] Gas,H[3] Star,H[3] Total,H[40] Gas,H[40] Star,H[40] Total,H[41] Gas,H[41] Star,H[41] Total,H[42] Gas,H[42] Star,H[42] Total,H[44] Gas,H[44] Star,H[44] Total,H[45] Gas,H[45] Star,H[45] Total,H[469] Gas,H[469] Star,H[469] Total,H[47] Gas,H[47] Star,H[47] Total,H[484] Gas,H[484] Star,H[484] Total,H[488] Gas,H[488] Star,H[488] Total,H[48] Gas,H[48] Star,H[48] Total,H[499] Gas,H[499] Star,H[499] Total,H[4] Gas,H[4] Star,H[4] Total,H[503] Gas,H[503] Star,H[503] Total,H[504] Gas,H[504] Star,H[504] Total,H[516] Gas,H[516] Star,H[516] Total,H[523] Gas,H[523] Star,H[523] Total,H[53] Gas,H[53] Star,H[53] Total,H[57] Gas,H[57] Star,H[57] Total,H[5] Gas,H[5] Star,H[5] Total,H[631] Gas,H[631] Star,H[631] Total,H[63] Gas,H[63] Star,H[63] Total,H[649] Gas,H[649] Star,H[649] Total,H[65] Gas,H[65] Star,H[65] Total,H[67] Gas,H[67] Star,H[67] Total,H[6] Gas,H[6] Star,H[6] Total,H[70] Gas,H[70] Star,H[70] Total,H[7] Gas,H[7] Star,H[7] Total,H[8] Gas,H[8] Star,H[8] Total,H[90] Gas,H[90] Star,H[90] Total,H[93] Gas,H[93] Star,H[93] Total,H[95] Gas,H[95] Star,H[95] Total,H[97] Gas,H[97] Star,H[97] Total,H[9] Gas,H[9] Star,H[9] Total
3072,,,,,,,0.0,22452677.9882,529707481.437,,,,34782118.8067,104388702.068,10107482148.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59149116679e+11,1.50328649425e+11,1.81075036272e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207885811.47,1191398993.13,61661929423.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119724.386799,126891040.991,,,,,,,1437593953.26,362246379.374,41404157523.9,,,,,,,,,,,,,,,,,,,1800269222.96,269873352.604,41253584081.8,,,,,,,,,,,,,,,,,,,,,,,,,1660624291.91,85103921.0162,15427960174.9,,,,,,,,,,,,,,,
2944,,,,1731483140.85,77226802.4282,16119500456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39897326.0109,104345228.714,10508677160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,,,,,,,,,,,,,,,,,,,,,,,,,3151192831.22,13352873329.2,67969702808.2,,,,,,,,,,0.0,119724.429974,197503215.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239593070.39,1143908370.71,56886436236.1,,,,,,,,,,,,,,,,,,,1942521942.43,263591022.157,41469067339.5,,,,,,,,,,,,,,,,1489376892.78,353371147.344,41333814493.2,,,,,,,,,,,,,,,,,,,,,,,,
2816,,,,1795140246.36,68524675.9965,16814584888.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43592049.3125,104293734.102,9418213145.14,,,,,,,,,,,,,,,,,,,1.5384707238e+11,1.28443365863e+11,1.68362036006e+12,,,,,,,,,,,,,,,,,,,,,,,,,3771206903.46,12574440895.3,77491509970.3,,,,0.0,119724.477035,207463516.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4409772404.47,1093660243.81,59533105002.4,,,,,,,,,,,,,,,,,,,2000198646.14,256824382.195,41330646921.3,,,,,,,,,,,,,,,,1503817602.45,346360709.058,41084565696.3,18840964.964,26895432.901,1267674564.93,,,,,,,,,,,,,,,,,,,,,
2688,,,,1571066554.53,47662415.6659,16595969560.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47799680.2747,104239250.58,5324529046.44,1.49229197715e+11,1.22421952104e+11,1.60214133621e+12,,,,,,,,,,,,,,,,,,,,,,,,,4477165003.83,11543612728.2,81013435187.8,,,,,,,0.0,119724.528845,212168168.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856397509.67,1056038393.78,70036427985.1,,,,,,,,,,,,,,,,,,,2038106881.13,249717479.003,41126385156.5,,,,,,,,,,26642359.4815,26970481.0195,1324759131.46,,,,1528341975.76,340270837.672,40740657173.9,,,,,,,,,,,,,,,,,,,,,,,,
2432,,,,1256466876.24,41891783.9606,19138316825.3,,,,125388475.128,102957595.61,16437569897.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39066807607e+11,1.08361401203e+11,1.39360273401e+12,,,,,,,,,,,,,,,,,,,,,,,,,6676915586.28,9430375294.95,1.19902736819e+11,,,,,,,,,,,,,,,,0.0,119724.642828,214499303.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4925332093.25,981372489.279,69153766359.8,,,,,,,,,,,,,,,,,,,2160380705.11,233618750.288,40622650774.7,,,,35971802.2805,27205359.6471,1423796622.18,,,,,,,,,,1604778550.67,326364233.521,39753583371.9,,,,,,,,,,,,,,,,,,,,,,,,
2088,,,,1058968623.66,37927823.7796,16611230359.1,,,,296724800.881,101182058.529,16340152242.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22561198991e+11,90107844668.5,1.17626591656e+12,,,,,,,,,,,,,,,,,,,,,,,,,10339909412.7,6782311579.98,1.49141386923e+11,,,,,,,,,,,,,,,,,,,0.0,119724.855682,224586756.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88862120.9238,27621995.8465,1985206065.64,,,,4891646703.37,911286470.166,64376240402.7,,,,,,,,,,,,,,,,,,,1827009858.37,306867432.969,38453075389.6,,,,,,,,,,,,,,,,2240267241.06,210939011.629,38786722290.4,,,,,,,,,,,,,,,,,,,,,,,,
2048,,,,1029842915.75,37690051.2123,16225669571.8,,,,304808542.68,101175469.437,16288509975.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21245962552e+11,88041756951.3,1.16016249104e+12,,,,,,,,,,,,,,,,,,,,,,,,,10141298815.4,6557167765.84,1.45708307788e+11,,,,,,,0.0,119724.885473,232682150.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94112748.6873,27761697.1888,2047476069.4,,,,,,,,,,,,,4848548491.87,899600203.984,63724049804.2,,,,,,,,,,,,,,,,,,,1895926804.86,305115318.414,38269918791.9,,,,,,,,,,,,,,,,2258210161.44,205264291.968,38509590775.4,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,742882251.417,35412557.6667,14131836847.8,,,,303049551.529,99947549.6063,15124787766.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0915948858e+11,69665135042.6,1.05617474413e+12,282864692.102,24014304.4425,5069047107.43,,,,,,,,,,,,,,,,,,,,,,10244515218.7,4598977352.28,1.3034712364e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4702994828.57,818999824.635,58933577368.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119725.166112,154907036.513,,,,,,,,,,2135760637.23,283332826.336,37185035647.5,,,,,,,,,,,,,,,,2272167909.2,187824113.306,35577864706.4,,,,,,,,,,,,,,,,,,,,,,,,
1408,6200365.90163,118250.767845,967508826.614,,,,,,,477944820.772,31966426.9799,13360648830.2,247583622.091,100017778.278,13647400199.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98304235092.7,44899799612.5,9.70993987662e+11,,,,,,,,,,197461488.586,23671047.508,4934473981.41,291764337.256,197643602.224,3092310010.79,,,,,,,,,,11977632925.2,2667469940.28,1.24688666627e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4670204111.77,713895717.804,56000567862.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700079927.98,248960386.816,34792375967.0,,,,,,,,,,,,,,,,1901761593.97,181224920.113,29707732168.2,,,,,,,,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,,321582053.808,99250982.5388,13255252679.3,,,,,,,,,,,,,,,,,,,307827791.58,31386375.3183,11143554989.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,79458807309.4,31916860795.9,7.69146424501e+11,,,,,,,,,,,,,,,,210578931.8,23835806.0336,4863241972.08,,,,,,,11536681400.0,2109061595.71,1.12433658352e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5058919640.61,629855003.171,57273129599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32352689.7502,25136874.7243,1486983444.48,3004767777.58,227828413.902,33417478200.3,,,,1810774251.05,176365702.852,28079058906.3,,,,,,,5909056.90478,117779.476396,1114968570.79,,,,,,,,,
