snap,gas,star,total,halo
139,10020326.6363,104650.149363,98877613.6859,183
225,8851083.021,114809.222631,158709476.851,302
275,2780673.45969,115108.888174,175272560.893,337
640,10098440.6996,116389.090244,742106202.279,141
974,3841428.14055,117273.323097,981551619.374,95
1024,3894415.92585,117332.181315,1008137211.72,97
1269,5908981.93701,117772.703496,1109246614.18,90
1280,5909056.90478,117779.476396,1114968570.79,93
1408,6200365.90163,118250.767845,967508826.614,109
1740,0.0,119725.166112,154907036.513,516
2048,0.0,119724.885473,232682150.23,312
2088,0.0,119724.855682,224586756.863,325
2432,0.0,119724.642828,214499303.173,324
2688,0.0,119724.528845,212168168.852,312
2816,0.0,119724.477035,207463516.127,310
2944,0.0,119724.429974,197503215.378,319
3072,0.0,119724.386799,126891040.991,488
3195,0.0,119724.348805,130493702.909,469
3200,0.0,119724.347509,130324165.874,469
3328,0.0,119724.311242,124644675.225,484
3456,0.0,119724.277565,119812869.744,499
3584,0.0,119724.246479,115786365.173,503
3606,0.0,119724.241298,114938680.002,503
3712,0.0,119724.217552,112607545.771,504
3840,0.0,119724.190783,105444606.09,523
3968,0.0,119724.165742,83447176.0023,631
4096,0.0,119724.141995,80225972.3471,649
